53,374,T09,"162, 254,174, 261",108,1,"168, 257",3,0
54,368,M16,"294, 275,322, 303",75,1,"308, 289",0,16 ~ 26
55,371,S08,"294, 303,322, 331",-1,1,"309, 317",0,40 ~ 46
56,372,S09,"322, 291,357, 331",70,1,"339, 311",0,50 ~ 62
57,367,G23,"331, 331,389, 375",71,1,"360, 353",0,45 ~ 75
58,375,T05,"389, 350,413, 375",109,1,"401, 362",4,0
59,370,S07,"260, 303,294, 361",-1,1,"277, 332",0,45 ~ 60
60,366,G20,"177, 275,222, 314",-1,1,"199, 294",0,68 ~ 80
61,369,S04,"222, 275,260, 314",69,1,"241, 294",0,60 ~ 80
62,376,T07,"35, 195,52, 213",110,1,"43, 204",3,0
63,450,M17,"322, 255, 357, 291",81,1,"336, 274",0,45 ~ 55
64,444,S22,"389, 291, 437, 350",85,1,"409, 315",0,70 ~ 85
65,451,T13,"384, 273, 395, 289",111,1,"393, 286",3,0
66,434,S13,"69, 344, 107, 403",-1,1,"88, 373",0,215 ~ 230
67,435,S12,"41, 354, 69, 403","82, 84",1,"55, 378",0,240 ~ 255
68,436,S14,"107, 343, 177, 393",-1,1,"142, 368",0,165 ~ 180
69,437,S15,"177, 356, 200, 405",-1,1,"188, 380",0,140 ~ 155
70,439,S05,"177, 314, 221, 356",96,1,"199, 335",0,90 ~ 105
71,443,T15,"200, 356, 221, 377",112,1,"210, 366",3,0
72,480,T19,"447, 491, 467, 511",113,0,"457, 501",0,0
73,486,M27,"412, 512, 467, 560",-1,0,"439, 535",0,265 ~ 280
74,487,M29,"362, 512, 411, 560",97,0,"387, 535",0,290 ~ 305
