48,45,44,56,"159, 214
164, 206
169, 198
176, 191
184, 186
192, 181
196, 172"
49,38,46,37,"582, 390
577, 382
581, 373
575, 366
566, 368"
50,2,47,74,"289, 200
282, 193
279, 184
278, 175
277, 166
277, 157
275, 148
268, 141
263, 133"
51,1,47,64,"244, 186
250, 179
257, 175
258, 166
258, 157
254, 148
261, 142"
52,19,47,35,"205, 134
214, 134
223, 134
232, 130
241, 130
250, 133"
53,48,47,27,"263, 133
269, 126
276, 119
283, 115
284, 106"
54,49,48,28,"284, 106
275, 105
266, 104
257, 100"
55,49,19,47,"249, 102
240, 106
231, 109
224, 116
222, 125
215, 131
205, 136"
56,27,50,28,"74, 136
78, 145
80, 154
83, 163"
57,50,51,36,"83, 163
83, 172
83, 181
83, 190
76, 196"
58,62,51,36,"76, 196
67, 198
58, 200
49, 203
40, 203"
59,45,52,47,"159, 214
164, 222
170, 229
174, 238
176, 247
180, 256
180, 256"
60,52,53,18,"180, 256
171, 256
162, 256"
61,52,60,46,"180, 256
182, 265
184, 274
185, 283
191, 290
198, 297"
62,60,61,36,"198, 297
207, 300
216, 302
225, 303
234, 303"
63,61,59,36,"234, 303
243, 306
252, 309
261, 310
270, 310"
64,59,55,36,"270, 310
279, 308
288, 307
297, 307
306, 305"
65,5,54,270,"307, 262
305, 271
303, 280
305, 289"
66,54,55,18,"305, 289
306, 297
306, 305"
67,55,56,28,"306, 305
315, 305
324, 305
333, 309"
68,56,57,45,"333, 309
341, 314
346, 322
351, 330
358, 336
366, 341"
69,57,58,37,"366, 341
373, 347
380, 354
389, 357
398, 359"
70,60,70,1,"198, 297
195, 305
196, 314
197, 326
199, 335"
71,69,70,1,"199, 335
196, 344
194, 353
192, 362
192, 371
188, 380"
72,70,71,1,"199, 335
202, 342
207, 349
209, 354
210, 359"
73,71,69,1,"210, 366
202, 371
195, 376
188, 380"
74,68,69,1,"188, 380
178, 381
169, 379
160, 376
151, 371
142, 368"
75,66,68,1,"142, 368
133, 369
124, 371
115, 371
106, 371
97, 372
88, 373"
76,66,67,1,"88, 373
79, 374
70, 375
63, 376
55, 378"
77,54,63,1,"305, 289
309, 283
316, 286
323, 282
330, 278
336, 274"
78,58,64,1,"398, 318
398, 326
402, 334
404, 342
404, 350
401, 362"
79,64,65,1,"398, 318
400, 310
400, 302
395, 294
393, 286"
80,72,73,1,"457, 501
454, 507
451, 512
448, 517 
444, 521
443, 528
439, 535",
81,73,74,1,"439, 535
429, 536
419, 534
409, 536
399, 534
387, 535",                                                                                                                                                                                                      
