Field number	Name	CoordinateX	CoordinateY
028	称号03	3318	1410
028	スタンプ管理官	2522	1212
028	収容所監視員	2211	1334
028	神の道調査員	2104	1335
028	MQ1 part 6~7	1797	2305
028	アルミ	2100	1218
028	前世占い師	2616	1209
028	イベンター	2533	1331
028	ムゥガ	2623	1331
028	バグスター	1052	2191
030	ギルリア	10390	9638
030	ゲリア	10010	9597
030	ガルリトン	10327	9862
030	堅固のボレル	8285	2048
030	エルラン	17663	8808
036	鉱員	800	429
036	鉱員	990	511
036	おばさん	6036	1965
036	おばさん	3142	1596
036	おばさん	2425	1959
036	男の子	1206	2742
036	女の子	6357	2109
036	農民	5647	2828
036	おじさん	3462	3515
036	鉱員	3332	2001
036	鉱員	6217	1243
036	おじいさん	892	2160
036	ハジン	2548	658
036	ウェントリード	4148	558
036	農民	5372	621
036	鉱員	5452	2225
036	おじさん	5617	2270
036	おばあさん	3240	1944
036	コルナ	3685	2022
036	ミュセン	3879	2647
036	フィレンド	4196	2848
036	シルリド	2672	2428
036	鉱員	739	3021
036	青年	1723	3347
036	お嬢さん	2967	3617
036	おじさん	4453	1008
036	おばさん	3646	779
036	鉱員	1644	1221
036	鉱員	4740	2308
036	クリスティラ	6963	3460
036	鉱員	2378	974
036	男の子	3088	414
036	女の子	3049	819
036	女の子	4942	1147
036	お嬢さん	6141	453
036	おじさん	7549	524
036	鉱員	7184	2200
036	セルファン	4105	2181
036	ハヌスィム	4004	1310
036	クレブ	3043	2912
036	アルテイン	5600	1150
036	シミル	1648	612
036	クレル	2353	3251
036	鉱員	6873	2384
036	鉱員	6974	2411
036	鉱員	7162	2324
036	鉱員	7210	2402
036	ビシュマ	1637	2112
036	ティレンド	6453	1365
036	ジム・モリ	4957	546
036	ジェコブ・ボンド	5354	388
036	ビルリト	2658	1780
036	フリーマン	5083	2782
036	ケイノビ爺さん	7442	3024
036	オスカー	4097	1849
036	ラサリル	4298	3435
036	ハギン	2262	601
036	治療師	5404	2621
036	クリシュナ	7069	3494
036	ホールガイド	3192	2889
036	ベシハラン	2917	1373
036	ホールテレポータ	2874	3041
036	配達員	4690	2756
036	ビルテン	482	2703
036	ビテイオン	6494	832
036	密造酒屋	1146	1049
036	サンドロ	2805	683
036	ビアン	4506	1751
036	シュコブベック	3405	2378
036	デニール	3266	698
036	鉱夫オブレーン	6623	1984
036	バートン	6867	510
036	カンディス	3626	1652
036	クダフ	1363	2530
036	ハイント	2015	602
036	デューイ	1826	2055
036	鍛冶屋バルト	7282	239
036	アルバート	7277	1063
036	フィービー	6832	3088
036	協会テレポーター	2208	2632
038	鉱員	9342	3378
038	鉱員	9343	3549
041	バラフェド	4691	1516
041	ぎこちない鉱員	233	1480
051	ラビア	3696	273
059	テレス	2400	2705
060	ゼンシ	935	373
061	ワリド	685	312
062	クリムスン	920	310
062	お嬢さん	1445	727
062	青年	1505	341
062	婦人	668	370
063	鉱員	7584	2564
063	鉱員	5618	593
063	鉱員	5553	738
064	鉱員	9209	1683
066	ポルリック	404	716
067	鉱員	245	474
067	鉱員	4382	397
068	殺し屋シャーク	11386	5981
069	レルフ	7964	3201
069	ヴォルフラム	16918	6854
069	ダント	9216	4266
070	パゴル	7903	2521
070	エルライン	11838	451
071	ちびっこ	1488	495
071	ちびっこ	1407	680
071	ちびっこ	1582	831
071	ちびっこ	3673	224
071	ちびっこ	3573	195
071	ルエン	2941	2484
071	メルリン	6943	3062
071	神父	1915	3347
071	修道女	1720	3373
071	住民	2413	4359
071	住民	2814	4590
071	神父	2533	4313
071	修道女	2721	4562
071	ちびっこ	2914	4301
071	神父	976	2471
071	聖騎士	1046	2689
071	聖騎士	1183	2542
071	修道女	313	1420
071	修道女	434	1502
071	修道女	830	1298
071	ダーキンソン	1381	2038
071	住民	666	3616
071	住民	738	3834
071	住民	1360	4409
071	住民	1266	4471
071	住民	779	6281
071	神父	2282	5606
071	神父	2236	5739
071	神父	2468	6054
071	ちびっこ	2744	6094
071	ちびっこ	2592	6141
071	ちびっこ	2765	6233
071	住民	3887	4401
071	ちびっこ	3808	4391
071	住民	4137	4450
071	住民	3988	4627
071	神父	4082	3496
071	修道女	4805	3077
071	クロネ	3978	3302
071	ちびっこ	4102	3764
071	ちびっこ	4337	3130
071	住民	4551	3812
071	住民	4560	3310
071	住民	8265	5561
071	住民	9741	4862
071	住民	9932	4948
071	住民	9738	5175
071	ちびっこ	10475	4244
071	住民	9142	5482
071	神父	6896	3975
071	住民	6036	2765
071	ちびっこ	6313	2709
071	ちびっこ	6144	2902
071	住民	8799	4141
071	住民	8620	4290
071	ちびっこ	11617	2838
071	ちびっこ	11811	2857
071	住民	11370	2098
071	シャロル	11603	2236
071	住民	12131	2030
071	住民	10846	2127
071	住民	10895	3803
071	住民	9203	3015
071	ちびっこ	9281	3130
071	ちびっこ	9341	3054
071	住民	7942	2661
071	住民	7818	2903
071	住民	8179	2699
071	ちびっこ	7890	2568
071	ちびっこ	8073	2835
071	住民	11654	953
071	住民	11705	1084
071	住民	11753	255
071	住民	11841	145
071	ちびっこ	10254	831
071	ちびっこ	10182	892
071	住民	9948	791
071	神父	7809	1031
071	修道女	7704	890
071	住民	7965	1143
071	ちびっこ	7668	1142
071	住民	8004	950
071	住民	6661	1607
071	住民	6844	1754
071	住民	6354	450
071	ジャキド	5720	2540
071	神父	5685	2450
071	神父	5581	2504
071	チェン	7965	1584
071	ミレバン	9447	1922
071	クリムテイン	7200	5015
071	名犬シルバー	4031	3282
071	アンティオクス	4668	3100
071	ザクジュード	4617	2408
071	ベルトラム	10710	3605
071	フィギュラン	9981	1120
071	クレミ	10675	3767
071	モリガン	5774	3368
071	ロビン	5792	470
071	カルメル神父	6555	1396
071	治療師	6192	3755
071	ベノン	753	2295
071	配達員	8208	4444
071	ミューラー神父	5909	4007
071	エバン	9756	3941
071	ホールテレポータ	3490	4004
071	ホールガイド	3404	3381
071	パーチ	8002	721
071	オベル	10784	3339
071	アールカイン	4456	5011
071	アールカインの妻	12648	6307
071	ブレン	2803	4885
071	欲張りティロン	10628	1506
071	ヘグリッタ修道女	298	1337
071	アクス	7810	2318
071	ガンデン	7773	3515
071	ジーニ	3511	3717
071	神父オルヘイム	5798	1596
071	マティルダ	3637	4994
071	エールキース	6227	2468
071	修道女	6338	2441
071	修道女	6247	2392
071	マルティ・オッズ	6729	507
071	ロミオ	3036	3922
071	サリーナ・ロペズ	3518	2086
071	協会テレポーター	5155	3148
072	警備兵	12051	552
072	警備兵	12350	704
073	マージルリンド	2767	5301
074	ルイストロング	6546	304
074	住民	6820	616
074	ガーウィンテル	6762	303
074	コスティニ	7257	2290
074	士官学校女教官	491	4231
074	船員	1031	970
074	住民	8086	1724
074	ちびっこ	8318	1689
074	ちびっこ	8186	1821
074	ルインズテラ	6416	2353
074	スピナクル	8166	2380
074	船員	9170	2952
074	ロマちびっこ	9031	3015
074	ちびっこ	9101	2842
074	ちびっこ	9271	3028
074	ウィメリンド	2589	2613
074	ミヌセン	806	3423
074	ベルラド	288	3178
074	デクストラル	6237	4084
074	ラビルライシ	7201	1849
074	おじいさん	2840	219
074	船員	3998	768
074	住民	3915	848
074	住民	4122	871
074	ちびっこ	5177	200
074	ちびっこ	5081	340
074	ロマちびっこ	4219	2389
074	ロマちびっこ	4430	2408
074	住民	4316	2473
074	流れ者	1748	2502
074	流れ者	3029	1788
074	流れ者	2869	754
074	士官候補生	6875	397
074	ランバート	4117	2687
074	ドギ・タニア	7564	554
074	オカナー	8616	4009
074	住民	2473	2035
074	クリス	5634	1547
074	船員	3823	4189
074	住民	3609	4096
074	ロマちびっこ	3722	4336
074	ロマちびっこ	3967	4290
074	ちびっこ	4003	4118
074	住民	5770	3709
074	住民	5686	3828
074	住民	5926	3869
074	傭兵	2077	2711
074	住民	1824	2875
074	ベシ・モラン	2853	2359
074	コジ	2222	2520
074	船員	736	1550
074	船員	961	1544
074	船員	717	2110
074	船員	410	2305
074	船員	1107	2222
074	船員	1235	2350
074	船員	1088	3567
074	ハスナン	3060	1281
074	住民	1182	3450
074	おばあさん	2983	209
074	ビスル出身ロマ	7494	2555
074	ロマ	3625	4477
074	農民	7759	304
074	住民	406	4320
074	住民	5304	317
074	お嬢さん	2578	1414
074	お嬢さん	6636	543
074	斧槍兵	8787	255
074	斧槍兵	9380	257
074	傭兵	7613	2061
074	傭兵	2683	1573
074	傭兵	1470	3615
074	露店組合試験官	5304	2570
074	ジャック・ハンマ	3159	3612
074	治療師	8350	3853
074	ケブティス	523	516
074	ホールガイド	7360	2973
074	マルノー	4947	704
074	ラティサ	5017	737
074	ケンスト	8471	2337
074	マック	2967	4338
074	ホールテレポータ	7036	2892
074	クラウド	4502	1967
074	倉庫番ネビル	1704	965
074	配達員	1812	1676
074	モレン	1234	2805
074	ホットン	8863	2830
074	ザコール	768	3970
074	カンドス	4716	3734
074	ウィルモア	3350	4195
074	独眼のオルガ	1689	3223
074	ヘイデン	7781	1259
074	奇人キーレン	3480	380
074	商人グワン	4904	2364
074	カルリコ	788	1272
074	カロン	6566	3700
074	バーツ	522	1711
074	ゴーチ	2464	2616
074	船員ヴィラン	6240	4477
074	ナターシャ	1674	2029
074	プエル	3564	2516
084	エルフ将エリアス	1615	954
092	ガディオン神父	4696	1052
092	ファーブ	529	1476
094	クレナ	1007	404
094	クロウン	686	568
094	警備員	1822	1001
094	警備員	2053	897
094	お嬢さん	1950	651
094	おばさん	1746	537
094	青年	1357	847
094	お嬢さん	744	724
094	おばあさん	1005	879
094	ウードスタック	1484	339
094	マガラース	1681	784
094	金取引人	1134	345
094	チケット交換員	924	566
095	ガルプレン	1810	908
095	貴族婦人	642	1060
095	ベリス	901	418
095	貴族	809	1017
095	貴族	2020	315
095	貴族	2078	395
095	武器職人サナ	2589	708
095	降神術師ムシル	2378	1052
095	貴族婦人	1587	1269
095	貴族	1729	1183
095	武器職人タポ	2869	559
095	ドミンゴペリー	575	885
095	ホールテレポータ	561	343
095	ホールガイド	1188	694
095	ランディス	3328	670
095	ハーソン	3377	647
095	ジェーソン	3273	646
095	貴族婦人	1648	463
095	貴族の男の子	1675	546
102	ダイルン	4205	359
104	ディープ	4426	1151
105	タティ	2574	297
106	ケルロス	474	436
108	ネクスト	4392	819
109	ベグノム	3383	2512
112	ゴールディー	3099	2221
116	ベゴジリナ	486	214
116	警備員	375	610
116	住民	802	246
116	おじいさん	927	704
116	住民	786	411
117	メルチェント	688	408
117	住民	1494	450
117	お嬢さん	1234	472
117	お嬢さん	1437	584
117	ちびっこ	994	699
117	ちびっこ	784	737
117	金取引人	818	313
118	警備兵	393	917
118	警備兵	590	1015
118	警備員	564	693
118	警備員	1028	586
118	警備員	958	859
118	警備兵	772	609
118	警備兵	1250	847
118	ジェカス・ミロン	1301	535
118	金取引人	1429	600
128	原始人の子供	16234	8779
128	アラン	5572	7395
128	ジェクソン	249	11073
128	アイン	158	11092
128	ドライ	123	11129
128	老人	120	11072
128	ジェイン	155	11140
128	アーク	217	11047
128	ジーベン	135	11026
128	フィーン	216	11124
129	インドレ	370	451
129	アドロフ	26300	820
129	レッドアイ要員	684	6857
129	レッドアイ要員	19761	11556
129	レニ	15389	10351
129	クオトン	15393	10467
129	アベル	25766	1467
130	スーアン	10142	8260
130	サンティアル公爵	8450	10022
132	木こり	394	2192
132	木こり	537	2247
132	木こり	648	2183
132	木こり	470	2637
132	木こり	557	2658
132	木こり	637	2702
132	木こり	805	2686
132	木こり	789	2775
132	木こり	548	2758
132	木こり	816	2223
132	木こり	733	2262
132	木こり	918	2167
132	チェインシャ	681	2561
142	ベスティン	9044	4275
142	アーウィン	4137	1513
151	ブルースカウト	8926	6021
152	ベス	2821	3571
152	ジュリアース	9232	2582
153	Ｍギルド員	720	774
153	Ｍギルド員	481	782
153	Ｎギルド員	509	1070
153	Ｎギルド員	425	1200
153	戦闘場の設計士	2016	326
153	シェンロウ	1374	628
153	Ｘギルド員	1694	861
153	Ｘギルド員	1949	918
153	Ｘギルドマスター	1697	970
153	Ｘギルド員	1821	852
153	Ｚギルドマスター	702	1160
153	Ｙギルド長老	958	856
153	パルペナ	1179	584
153	ギルド戦ヘルパー	2377	461
153	警備兵	2202	432
153	
