"잘 부탁해.",	"sal_in"
"미안해.",	"wis_fi"
"정말 고생했어요.",	"wis_bk"
"빛은 모든 희망의 상징이죠.",	"wis_n1"
"몬스터들과 평화롭게 살 순 없을까요?",	"wis_n2"
"전 당신을 믿어요.",	"wis_n3"
"으음. 맛있네요.",	"wis_e1"
"괜찮은 맛이네요.",	"wis_e2"
"맛있어요.",	"wis_e3"
"고마워요.",	"wis_lv"
"축하해요.",	"wis_uu"
"뵙게되서 영광입니다.",	"sha_in"
"그럼 이만 물러가겠습니다.",	"sha_ot"
"느립니다.",	"sha_s1"
"이쪽입니다!",	"sha_s2"
"당신의 패배입니다.",	"sha_fi"
"당신의 이름 기억해두겠습니다.",	"sha_bk"
"그건. 비밀입니다.",	"sha_n1"
"어둠은 인간의 본성에 가장 가깝다고 할 수 있죠.",	"sha_n2"
"원하는 걸 얻기위해서는 그만한 희생이 따르죠.",	"sha_n3"
"이건 제 입맛에 맞지 않습니다.",	"sha_e1"
"이건 영양가가 많은 음식이로군요.",	"sha_e2"
"아주 훌륭한 음식입니다.",	"sha_e3"
"이 모든 힘은 다 당신을 위한 겁니다.",	"sha_lv"
"축하합니다. 당신은 계속 강해질 겁니다.",	"sha_uu"
"함께 청춘을 불태워보자.",	"wha_in"
"난 이대로 포기하지 않아!",	"wha_ot"
"자, 간닷!",	"wha_s1"
"아뵤~!",	"wha_s2"
"근성이 그정도 밖에 안되나?",	"wha_fi"
"멋진 승부 잊지 않겠다.",	"wha_bk"
"사나이는 자신의 상대를 감으로 알 수 있지.",	"wha_n1"
"먹이를 노리는 맹수의 눈동자를 본 적 있나?",	"wha_n2"
"수행은 자신을 지키는 무기가 된다.",	"wha_n3"
"맛없는 음식도 근성으로 먹는다.",	"wha_e1"
"덕분에 영양 보충 잘했다.",	"wha_e2"
"최고의 음식을 먹는 것도 수행의 일부지.",	"wha_e3"
"수행을 앞으로 더 게을리하면 안되겠군.",	"wha_lv"
"축하한다. 앞으로 더 정진하자.",	"wha_uu"
"어라? 여긴 어디지?",	"soo_in"
"네? 어디로 들어가죠?",	"soo_ot"
"막아봐!",	"soo_s1"
"아이쿠!",	"soo_s2"
"제가 해치운게 맞나요?",	"soo_fi"
"어? 끝난 건가요?",	"soo_bk"
"이 길이 아닌가 봐요.",	"soo_n1"
"몬스터가 없네요. 헤헤",	"soo_n2"
"무슨 말을 할 지 까먹었어요.",	"soo_n3"
"한 그릇 더 주세요.",	"soo_e1"
"여기 반찬 좀 주세요.",	"soo_e2"
"아줌마 여기 단무지 추가요?",	"soo_e3"
"고마워요. 헤헤.",	"soo_lv"
"축하해요~",	"soo_uu"
"만나서 반갑다구.",	"poo_in"
"너무 아쉽다구.",	"poo_ot"
"간다구!",	"poo_s1"
"막아보라구!",	"poo_s2"
"나는 지지않아!",	"poo_fi"
"우린 무적이라구.",	"poo_bk"
"넌 나의 동료라구. 그 사실을 잊지마.",	"poo_n1"
"동료는 무슨 일이 있어도 내가 지킨다구.",	"poo_n2"
"몬스터들은 인정사정 봐줄 필요 없다구.",	"poo_n3"
"다음부터는 맛있는 거로 달라구.",	"poo_e1"
"다음엔 라면으로 달라구.",	"poo_e2"
"다음에도 이런 걸로 달라구.",	"poo_e3"
"좋았으! 힘이 넘친다구.",	"poo_lv"
"레벨업도 했으니 한턱쏘라구.",	"poo_uu"
"무슨 일이에요?",	"zee_in"
"나야 고맙죠. 혼자 잘해봐요.",	"zee_ot"
"어금니 꽉 깨물어!",	"zee_s1"
"안경 벗어!",	"zee_s2"
"별 것도 아닌게 까불기는.",	"zee_fi"
"이제부터 여긴 내가 접수한다.",	"zee_bk"
"왜 그런 눈으로 보세요.",	"zee_n1"
"껌 좀 드릴까요?",	"zee_n2"
"무슨 일이 있어도 제가 옆에 있을게요.",	"zee_n3"
"다이어트하기도 바쁜 데, 이런 것 까지 먹으라고요? 우웩.",	"zee_e1"
"먹기 싫다니까 정말 귀찮게 하네요.",	"zee_e2"
"아까우니까 그냥 먹을게요.",	"zee_e3"
"고맙긴 한데, 한턱 쏘셔야죠?",	"zee_lv"
"축하해요. 헤헤.",	"zee_uu"
"안녕하세용.",	"bit_in"
"저 자러가용.",	"bit_ot"
"자! 갈게용!",	"bit_s1"
"막아보세요.",	"bit_s2"
"제 도움이 컸나용?",	"bit_fi"
"덕분에 살았네용.",	"bit_bk"
"재미있는 이야기 좀 해주세용.",	"bit_n1"
"심심해용.",	"bit_n2"
"모험이 그렇게 좋은가용?",	"bit_n3"
"맛없어용.",	"bit_e1"
"잘 먹을게용.",	"bit_e2"
"맛있어용.",	"bit_e3"
"칭찬해주세용.",	"bit_lv"
"축하해용.",	"bit_uu"
"낄낄낄~ 무슨 일이야?",	"arm_in"
"낄낄~ 난 자러 갈게.",	"arm_ot"
"여기지롱. 낄낄~",	"arm_s1"
"우히히히~",	"arm_s2"
"히히~ 내가 한건 했어.",	"arm_fi"
"지는 줄 알았다고. 낄낄낄.",	"arm_bk"
"인생 뭐있어? 즐겁게 지내자고. 낄낄.",	"arm_n1"
"자~ 신나는 모험을 시작해보자고. 흐흐.",	"arm_n2"
"심심한데, 뭐 재미있는거 없어? 히히.",	"arm_n3"
"우웨웩~ 놀랐지? 낄낄.",	"arm_e1"
"어거 먹을만 한데? 히히.",	"arm_e2"
"맛있다~ 맛있어. 흐흐.",	"arm_e3"
"어라? 벌써 레벨업인가? 히히히.",	"arm_lv"
"축하해~ 흐흐흐~",	"arm_uu"
"만나서 반가워요.",	"hao_in"
"더 도와드리고 싶은데, 아쉽네요.",	"hao_ot"
"지금이야!",	"hao_s1"
"제가 지원할게요.",	"hao_s2"
"계획대로 되고 있군요.",	"hao_fi"
"우리의 작전이 먹혀들었어요.",	"hao_bk"
"불이 타오르는 모습은 정말 아름답지 않나요?",	"hao_n1"
"불은 온도에 따라 색이 다르다고 해요.",	"hao_n2"
"만약에 불이 없었다면, 인간이 이렇게 잘 살 수 있었을까요?",	"hao_n3"
"덜익었네요. 제가 더 데워먹죠.",	"hao_e1"
"적당히 익었는데, 약간 탄 것 같아요.",	"hao_e2"
"전 태운 음식이 제일 좋아요.",	"hao_e3"
"더 큰 불을 만들 수 있을 것 같아요.",	"hao_lv"
"축하해요. 기념으로 불꽃놀이라도 보여드릴까요?",	"hao_uu"
"안녕하십니까.",	"mio_in"
"가보겠습니다.",	"mio_ot"
"지금입니다.",	"mio_s1"
"처리할게요.",	"mio_s2"
"모든 것이 계산대로 되었군요.",	"mio_fi"
"우린 불가능을 가능으로 만들었어요.",	"mio_bk"
"계획과 실행, 그리고 결과 이것이 모든 일의 전부입니다.",	"mio_n1"
"긴장을 늦추지 마십시오.",	"mio_n2"
"승리의 조건의 정보력의 우위를 점하는 것이죠.",	"mio_n3"
"이런 식단은 스트레스만 유발하지요.",	"mio_e1"
"그냥 먹을 것 그 이상 그 이하도 아니군요.",	"mio_e2"
"음식 그 이상의 무언가가 있는 것 같군요.",	"mio_e3"
"아직도 갈 길이 멀군요.",	"mio_lv"
"축하해요.",	"mio_uu"
"만나서 반가워.",	"suo_in"
"그럼 잘있어.",	"suo_ot"
"도망가면서 때리기!",	"suo_s1"
"노는 척 하면서 보조!",	"suo_s2"
"어때? 정신없지?",	"suo_fi"
"저 친구는 나의 함정에 걸려들어 저리 된거지.",	"suo_bk"
"양치기 소년은 나랑 가장 친한 친구야.",	"suo_n1"
"피노키오라는 친구를 아니?",	"suo_n2"
"거짓말도 가끔은 필요할때가 있지.",	"suo_n3"
"너무 맛있다. 너도 먹어.",	"suo_e1"
"이거 맛이 좀 애매한데?",	"suo_e2"
"이거 맛없어. 내가 대신 먹어줄게.",	"suo_e3"
"기분 정말 좋다. 정말이야.",	"suo_lv"
"축하해! 정말로!",	"suo_uu"
"좀 더 자면 안 될까?",	"dao_in"
"아함. 자러갈게.",	"dao_ot"
"간다?",	"dao_s1"
"각오해.",	"dao_s2"
"어? 무슨 일이 있었나?",	"dao_fi"
"깜짝이야. 이게 무슨 소리야?",	"dao_bk"
"이건 조는 것도 아니고, 자는 것도 아니여~",	"dao_n1"
"대지는 보이진 않지만, 아주 조금씩 움직이고 있어.",	"dao_n2"
"어제 일찍 잤는데도 졸립다. 하암~",	"dao_n3"
"이런 걸 먹느니 잠을 더 자겠어.",	"dao_e1"
"이거 먹을 만한데, 졸음이 가시는 느낌이야.",	"dao_e2"
"오! 잠이 확깨는 맛인걸.",	"dao_e3"
"이제 한숨 자고 하면 안돼?",	"dao_lv"
"축하해. 기념으로 한숨 자자.",	"dao_uu"
"어머, 무슨 일이죠?",	"cha_in"
"전 이만 자야겠군요.",	"cha_ot"
"난 몰라요!",	"cha_s1"
"제가 엄호할게요.",	"cha_s2"
"야호! 제가 해냈어요.",	"cha_fi"
"정말 굉장해요.",	"cha_bk"
"제가 도와드릴 일은 없나요?",	"cha_n1"
"빛이 있기에 어둠도 생기는 법이죠.",	"cha_n2"
"모험은 정말 피곤하네요.",	"cha_n3"
"이게 뭔가요? 맛있는 것 좀 달라구요.",	"cha_e1"
"좀 더 몸에 좋은 음식은 없나요?",	"cha_e2"
"오늘은 웰빙 식단인가요?",	"cha_e3"
"기념으로 선물 좀 사달라구요.",	"cha_lv"
"축하해요.",	"cha_uu"
"여긴 무서운 곳이에요. 덜덜덜.",	"goo_in"
"자다가 가위 눌려요. 덜덜덜.",	"goo_ot"
"공격할까요? 덜덜덜.",	"goo_s1"
"문제없어. 덜덜덜.",	"goo_s2"
"확실히 끝난거죠? 덜덜덜.",	"goo_fi"
"무서워 죽는 줄 알았어요. 덜덜덜.",	"goo_bk"
"저기서 누가 쳐다보고 있는 것 같아요.",	"goo_n1"
"세상에는 불가사의한 일이 많이 일어나죠.",	"goo_n2"
"외계인의 존재를 믿으세요?",	"goo_n3"
"이런 끔찍한 맛은 죽을 때까지 못잊을 거에요.",	"goo_e1"
"평범한 건 정말 싫지만, 음식 불평은 하면 안되죠.",	"goo_e2"
"무언가 굉장한 경험을 한 느낌이 나는 맛이에요.",	"goo_e3"
"앞으로 더 새로운 경험을 하고 싶어요.",	"goo_lv"
"축하해요. 뭔가 특별한 것이 느껴지지 않나요?",	"goo_uu"
